,0
study_no,object
date,datetime64[ns]
abdominal_pain,boolean
abdominal_pain_level,Int64
abdominal_tenderness,object
age,float64
albumin,float64
alt,float64
appetite_lost,object
aptt,float64
ascites,boolean
ascites_level,Int64
ast,float64
bilirubin_direct,float64
bilirubin_total,float64
bladder_thickening,object
bleeding,boolean
bleeding_gum,object
bleeding_mucosal,object
bleeding_nose,object
bleeding_severity,float64
bleeding_skin,object
bleeding_vaginal,object
body_temperature,Float64
bruising,object
chills,object
cough,object
creatinine,float64
crystalloid,object
dbp,float64
diarrhoea,boolean
diarrhoea_level,Int64
dos,float64
event_admission,object
event_cytokine,object
event_discharge,object
event_enrolment,object
event_followup,object
event_laboratory,object
event_ns1,object
event_onset,object
event_pcr,object
event_serology,object
event_transferred_icu,object
event_ultrasound,object
fatigue,object
fever,object
fibrinogen,float64
gender,object
glucose,float64
glucose_fasting,float64
glucose_ran,float64
haematocrit_percent,float64
haemoglobin,float64
headache,object
heart_sound,object
height,float64
hematemesis,object
hematuria,object
hepatomegaly,object
hs_concentration,float64
ifng,float64
igg,float64
igg_interpretation,object
igm,float64
igm_interpretation,object
il10,float64
il12p7,float64
il13,float64
il1b,float64
il2,float64
il4,float64
il5,float64
il6,float64
ip10,float64
jaundice,object
joint_pain,object
liver_palpation_size,float64
lymphocytes_percent,float64
melaena,object
muscle_pain,object
neutrophils_percent,float64
ns1_concentration,float64
ns1_interpretation,object
oedema,object
oedema_pulmonary,object
outcome,string
parental_fluid,boolean
parental_fluid_period,float64
parental_fluid_volume,float64
pcr_dengue_load,float64
pcr_dengue_reaction,float64
pcr_dengue_serotype,object
pericardial_effusion,object
petechiae,object
pleural_effusion,object
plt,float64
potassium,float64
pregnant,object
pt,float64
pulse,float64
rales_crackles,object
respiratory_distress,object
respiratory_rate,float64
runny_nose,object
sbp,float64
shock,boolean
shock_resucitation,object
skin_rash,object
sodium,float64
sore_throat,object
spleen_palpation_size,float64
tnfa,float64
urea,float64
vomiting,boolean
vomiting_level,Int64
wbc,float64
weight,float64
day_from_enrolment,object
day_from_admission,object
day_from_onset,object
