,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,StudyCode,study_code,string,,,False,,
1,Date,date,datetime64[ns],,,True,,
2,DayIllness,day_illness,Int64,,,False,,
3,MaxHCT,max_hct,float64,,,False,,
4,MinHCT,min_hct,float64,,,False,,
5,Platelet,platelet,Int64,,,False,,
6,WBC,wbc,float64,,,False,,
7,Neutrophils,neutrophils,float64,,,False,,
8,Lymphocytes,lymphocytes,float64,,,False,,
9,Hb,hb,float64,,,False,,
10,Albumin,albumin,float64,,,False,,
11,TotalBili,total_bili,float64,,,False,,
12,DirectBili,direct_bili,float64,,,False,,
13,AST,ast,Int64,,,False,,
14,ALT,alt,Int64,,,False,,
15,Sodium,sodium,float64,,,False,,
16,Potassium,potassium,float64,,,False,,
17,Urea,urea,float64,,,False,,
18,Creatinine,creatinine,Int64,,,False,,
19,GlucoseRan,glucose_ran,Int64,,,False,,
20,GlucoseFasting,glucose_fasting,Int64,,,False,,
21,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
