,dtypes,%nan,count,unique,mean,std,min,25%,50%,75%,max,categories
study_no,string,0.0,13900,664,,,,,,,,
date,datetime64[ns],0.19424460431655177,13873,6109,2017-06-01 17:51:35.966265344,,2016-10-05 00:00:00,2017-03-01 08:10:00,2017-06-19 07:15:00,2017-09-06 00:00:00,2018-05-17 00:00:00,
abdominal_pain,boolean,97.65467625899281,326,1,,,,,,,,True (326) | nan (13574)
abdominal_pain_level,Int64,97.65467625899281,326,3,1.1503067484662577,0.3747202826525959,1.0,1.0,1.0,1.0,3.0,1.0 (279) | 2.0 (45) | 3.0 (2) | nan (13574)
abdominal_tenderness,boolean,82.9136690647482,2375,2,,,,,,,,False (2092) | True (283) | nan (11525)
age,Int64,0.0,13900,25,26.8568345323741,4.709223137004597,18.0,23.0,27.0,30.0,45.0,
albumin,Float64,83.67625899280576,2269,225,37.87831643895999,4.5989595656812545,23.5,34.6,38.1,41.3,51.3,
alt,Float64,83.66187050359713,2271,429,87.71241743725231,136.36676854644972,5.0,25.0,47.0,101.0,2115.0,
anorexia,boolean,0.0,13900,2,,,,,,,,False (1036) | True (12864)
ascites,boolean,0.0,13900,2,,,,,,,,False (13897) | True (3)
ast,Float64,83.66187050359713,2271,482,109.98190224570673,170.40148076203818,11.0,30.0,58.0,122.0,2893.0,
bilirubin_direct,Float64,99.98561151079137,2,2,26.450000000000003,15.76848122046001,15.3,20.875,26.450000000000003,32.025000000000006,37.6,15.3 (1) | 37.6 (1) | nan (13898)
bilirubin_total,Float64,99.97841726618705,3,3,39.13333333333333,22.47695115742643,19.4,26.9,34.4,49.0,63.6,19.4 (1) | 34.4 (1) | 63.6 (1) | nan (13897)
bleeding,boolean,82.9136690647482,2375,2,,,,,,,,False (923) | True (1452) | nan (11525)
bleeding_gi,Int64,99.83453237410072,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 (23) | nan (13877)
bleeding_gum,boolean,0.0,13900,2,,,,,,,,False (13084) | True (816)
bleeding_mucosal,Int64,74.27338129496403,3576,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 (3576) | nan (10324)
bleeding_nose,boolean,0.0,13900,2,,,,,,,,False (13584) | True (316)
bleeding_other,string,95.0863309352518,683,18,,,,,,,,
bleeding_severe,object,88.09352517985612,1655,5,,,,,,,,"1.0 (1.0    3
1.0    2
Name: bleeding_severe, dtype: int64) | 1.0 (1.0    3
1.0    2
Name: bleeding_severe, dtype: int64) | 2.0 (2.0    1007
2.0     642
Name: bleeding_severe, dtype: int64) | 2.0 (2.0    1007
2.0     642
Name: bleeding_severe, dtype: int64) | True (1) | nan (12245)"
bleeding_skin,Int64,80.23021582733813,2748,2,0.9916302765647744,0.09111911173355125,0.0,1.0,1.0,1.0,1.0,0.0 (23) | 1.0 (2725) | nan (11152)
bleeding_urine,Int64,99.83453237410072,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 (23) | nan (13877)
bleeding_vaginal,boolean,0.0,13900,2,,,,,,,,False (12296) | True (1604)
bleeding_vensite,Int64,99.83453237410072,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 (23) | nan (13877)
body_temperature,Float64,76.18705035971223,3310,42,37.765362537764375,0.8762007803471913,36.7,37.1,37.3,38.4,41.0,
bruising,boolean,78.12230215827338,3041,2,,,,,,,,False (2163) | True (878) | nan (10859)
chills,boolean,95.61151079136691,610,1,,,,,,,,True (610) | nan (13290)
colloid,boolean,99.9568345323741,6,2,,,,,,,,False (5) | True (1) | nan (13894)
conjunctival,boolean,78.13669064748201,3039,2,,,,,,,,False (2445) | True (594) | nan (10861)
convulsions,boolean,82.9136690647482,2375,2,,,,,,,,False (2373) | True (2) | nan (11525)
cough,boolean,97.39568345323741,362,1,,,,,,,,True (362) | nan (13538)
creatine_kinase,Int64,83.75539568345323,2258,273,74.8458813108946,99.67445540863778,8.0,34.0,49.0,75.75,1404.0,
dbp,Float64,76.14388489208633,3316,11,64.91360072376357,6.517235453084144,50.0,60.0,60.0,70.0,100.0,
diarrhoea,Int64,58.65467625899281,5747,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 (5747) | nan (8153)
event_admission,boolean,95.22302158273381,664,1,,,,,,,,True (664) | nan (13236)
event_discharge,boolean,95.24460431654677,661,1,,,,,,,,True (661) | nan (13239)
event_enrolment,boolean,95.22302158273381,664,1,,,,,,,,True (664) | nan (13236)
event_fever,boolean,95.22302158273381,664,1,,,,,,,,True (664) | nan (13236)
event_laboratory,boolean,68.63309352517986,4360,1,,,,,,,,True (4360) | nan (9540)
event_shock,boolean,99.9568345323741,6,1,,,,,,,,True (6) | nan (13894)
event_ultrasound,boolean,95.35251798561151,646,1,,,,,,,,True (646) | nan (13254)
feeling_dizzy,boolean,96.13669064748201,537,1,,,,,,,,True (537) | nan (13363)
fetal,boolean,95.94244604316546,564,2,,,,,,,,False (4) | True (560) | nan (13336)
fibrinogen,Float64,83.97841726618705,2227,352,2.893385720700498,0.8309164426227285,0.46,2.34,2.77,3.285,7.64,
haematocrit_percent,Float64,68.35971223021583,4398,246,37.3905638926785,4.210793645526877,22.8,34.6,37.6,40.1,55.0,
haemoglobin,Float64,68.65467625899281,4357,105,12.331870553132898,1.3929868826490452,6.8,11.4,12.4,13.2,18.5,
haemorrhage,boolean,99.8273381294964,24,1,,,,,,,,False (24) | nan (13876)
headache,boolean,95.39568345323741,640,1,,,,,,,,True (640) | nan (13260)
headache_level,Int64,95.39568345323741,640,3,1.9171875,0.6161759721366092,1.0,2.0,2.0,2.0,3.0,1.0 (150) | 2.0 (393) | 3.0 (97) | nan (13260)
heart_sound,boolean,95.22302158273381,664,2,,,,,,,,False (2) | True (662) | nan (13236)
height,Int64,0.0,13900,32,156.70928057553957,5.396703811592602,140.0,153.0,156.0,160.0,177.0,
hematemesis,boolean,78.12230215827338,3041,2,,,,,,,,False (3035) | True (6) | nan (10859)
hematuria,boolean,78.12230215827338,3041,2,,,,,,,,False (3033) | True (8) | nan (10859)
inr,Float64,83.70503597122303,2265,44,1.024379690949226,0.08710537834820331,1.0,1.0,1.0,1.01,4.04,
jaundice,boolean,0.0,13900,2,,,,,,,,False (13881) | True (19)
joint_pain,boolean,96.0,556,1,,,,,,,,True (556) | nan (13344)
joint_pain_level,Int64,96.0,556,3,1.8201438848920863,0.5726725531520683,1.0,1.0,2.0,2.0,3.0,1.0 (150) | 2.0 (356) | 3.0 (50) | nan (13344)
lethargy,boolean,78.13669064748201,3039,2,,,,,,,,False (3032) | True (7) | nan (10861)
liver_failure,boolean,99.93525179856115,9,1,,,,,,,,False (9) | nan (13891)
liver_palpation,boolean,78.13669064748201,3039,2,,,,,,,,False (2976) | True (63) | nan (10861)
liver_palpation_size,Int64,99.54676258992805,63,5,2.7142857142857144,3.993658567749673,1.0,1.0,2.0,2.0,18.0,1.0 (25) | 14.0 (2) | 16.0 (1) | 18.0 (2) | 2.0 (33) | nan (13837)
liver_severe,boolean,99.93525179856115,9,1,,,,,,,,True (9) | nan (13891)
lymphadenopathy,boolean,78.13669064748201,3039,2,,,,,,,,False (3015) | True (24) | nan (10861)
lymphocytes_percent,Float64,68.66187050359713,4356,667,33.00003213957752,14.633030012503959,1.4,21.6,32.05,43.0,77.9,
melaena,boolean,78.12949640287769,3040,2,,,,,,,,False (3034) | True (6) | nan (10860)
meningism,boolean,82.9136690647482,2375,2,,,,,,,,False (2373) | True (2) | nan (11525)
monocytes_percent,Float64,68.66187050359713,4356,215,7.396997245179081,3.236674432690137,0.3,5.3,6.8,8.9,42.8,
muscle_pain,boolean,95.66187050359713,603,1,,,,,,,,True (603) | nan (13297)
muscle_pain_level,Int64,95.66187050359713,603,3,1.8175787728026533,0.5791700801503361,1.0,1.0,2.0,2.0,3.0,1.0 (166) | 2.0 (381) | 3.0 (56) | nan (13297)
nausea,boolean,96.42446043165468,497,2,,,,,,,,False (1) | True (496) | nan (13403)
neurology,boolean,82.9136690647482,2375,2,,,,,,,,False (2370) | True (5) | nan (11525)
neurology_abnormal,boolean,95.22302158273381,664,2,,,,,,,,False (663) | True (1) | nan (13236)
neutrophils_percent,Float64,68.65467625899281,4357,746,52.80841175120484,17.73432742435017,6.1,38.6,53.1,67.2,96.8,
oedema,boolean,75.58992805755395,3393,2,,,,,,,,False (3282) | True (111) | nan (10507)
oedema_face,boolean,78.12230215827338,3041,2,,,,,,,,False (3036) | True (5) | nan (10859)
oedema_feet,boolean,78.12230215827338,3041,2,,,,,,,,False (3034) | True (7) | nan (10859)
oedema_hands,boolean,78.12230215827338,3041,2,,,,,,,,False (3039) | True (2) | nan (10859)
oedema_pulmonary,Int64,99.87769784172662,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 (17) | nan (13883)
parental_fluid,boolean,82.98561151079136,2365,2,,,,,,,,False (2339) | True (26) | nan (11535)
